Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%,Kalori_per_Kapita,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Thailand,THA,2005,43.7667599678992,2701.1128,4093634.0,474156.294,13402.0,2933241.9,67905.712,51469.6,44286044.8
Timor Leste,TLS,2005,22.3940820443847,2133.138,92219.0,2264663.0,4524.0,66152.0,35.0,5789.6,1000.0
Vietnam,VNM,2005,32.1384618827057,2585.4734,3787100.0,1015513.8,2434.8,15966.986,1824166.6,3928.6,200.0
Filipina,PHL,2006,38.8369051212396,2453.8389,6082109.0,1666273.0,846490.4,853.2,940421.8,854811.6,836560.0
Indonesia,IDN,2006,25.5208558741616,2416.7554,11609463.0,204825490.0,126520.0,12175.0,658518.8,587532.2,559713.8
Kamboja,KHM,2006,30.3365057783821,2362.355,376938.0,76234.0,0.0,8000.0,12.0,200.0,110291840.0
Malaysia,MYS,2006,21.5346218231624,2799.3337,80000.0,5787142.5,17045.2,3213383.0,6520.0,992570.2,300987.78
Myanmar,MMR,2006,17.7467978637122,2332.3882,1015800.0,53000.0,17406.4,205647.874,1016309.4,267408.8,1010738.0
Thailand,THA,2006,43.9487952396798,2767.2837,3918332.0,458664.094,20268.0,3563795.3,67905.712,26395.8,43744088.8
Timor Leste,TLS,2006,22.3671822461332,2124.373,118984.0,2236081.5,2400.0,80303.0,33.04,39669.4,1000.0
Vietnam,VNM,2006,32.2191850892757,2591.1855,3854500.0,1399368.6,3191.726,184.242,3096882.6,4363.2,300.0
Filipina,PHL,2007,39.5412013281014,2507.9426,6736940.0,1700229.0,721902.2,1148.6,777166.4,837345.2,883100.0
Indonesia,IDN,2007,26.0490159620222,2457.2183,13287527.0,217056820.0,13000.0,11567.0,597062.9,618048.6,562862.06
Kamboja,KHM,2007,30.3365057783821,2371.6497,523000.0,67100.0,0.0,8000.0,14.0,200.0,119020370.0
Malaysia,MYS,2007,21.6320194795313,2818.6182,32075.0,5517663.5,17045.2,2602952.0,6520.0,992570.2,243157.45
Myanmar,MMR,2007,18.337617823479,2410.2163,1128100.0,68500.0,17406.4,205604.656,1522641.0,267408.8,1037873.0
Thailand,THA,2007,44.1288731429466,2723.733,3890218.0,1823877.4,20268.0,2224491.3,94324.596,26395.8,43780835.4
Timor Leste,TLS,2007,22.3402824478816,2109.3245,71526.0,2037851.9,2570.0,101218.0,32.91,31697.0,1100.0
Vietnam,VNM,2007,32.1943447296182,2636.9502,4303200.0,1792882.4,2988.272,170.626,3092753.0,6317.0,400.0
Filipina,PHL,2008,40.2790354495757,2518.1292,6928225.0,1589504.0,721902.2,1148.6,777166.4,837345.2,1081592.0
Indonesia,IDN,2008,26.2043436045121,2481.3433,16323922.0,214502800.0,13000.0,13393.0,537959.06,618048.6,575684.94
Kamboja,KHM,2008,30.3365057783821,2383.7673,611865.0,86284.0,2138.0,8000.0,13.0,200.0,114605784.0
Malaysia,MYS,2008,21.7635063156293,2759.903,32959.0,4913542.0,17045.2,2032553.0,6060.0,993490.4,305729.22
Myanmar,MMR,2008,18.7919976733863,2508.4263,1184700.0,37400.0,14391.6,307.654,28140.0,81015.6,1057125.0
Thailand,THA,2008,44.3109084147272,2698.4988,4249354.0,1754911.2,13402.0,828703.29,404.712,51469.6,44315492.2
Timor Leste,TLS,2008,22.649630127774,2096.0723,100173.0,2253098.5,2234.0,84332.0,32.78,31697.0,1200.0
Vietnam,VNM,2008,32.7399677741119,2682.3342,4573100.0,2219230.2,2320.0,159.766,3215575.8,6325.6,500.0
Filipina,PHL,2009,40.580876681088,2526.313,7034033.0,1732210.0,656869.2,1026.2,815467.6,818118.8,1223068.0
Indonesia,IDN,2009,26.5727183586424,2541.6438,17629740.0,207117860.0,40600.0,7000.0,474917.1,618048.6,579619.9
Kamboja,KHM,2009,30.1876954452753,2394.5144,924026.0,54953.0,2333.0,8000.0,5.0,200.0,103799864.0
Malaysia,MYS,2009,21.9753462182316,2805.2063,36396.0,5390533.5,17045.2,3341727.0,6520.0,992570.2,738520.0
Myanmar,MMR,2009,19.04331853666,2547.3188,1225700.0,46600.0,5581.0,200889.572,1009713.0,214375.0,1069687.0
Thailand,THA,2009,44.4929436865079,2659.989,4616119.0,4518190.4,214713.98,57043.976,351.012,83290.4,22330862.0
Timor Leste,TLS,2009,22.7572293207801,2050.0518,134715.0,2156158.0,2216.0,75082.0,32.64,22480.8,1300.0
Vietnam,VNM,2009,32.9068109297165,2691.0889,4371700.0,2243870.2,27138.2,158.92,3314897.4,7327.2,500.0
Filipina,PHL,2010,40.580876681088,2411.137,6376796.0,1581732.0,780156.4,1102.8,824028.6,837345.2,1201200.0
Indonesia,IDN,2010,26.568260667402,2574.3298,18327636.0,232482400.0,9297.4,8250.0,489095.8,618048.6,593606.6
Kamboja,KHM,2010,30.4861262179923,2521.0195,773269.0,34350.0,3581.0,8631.0,4.0,200.0,102009350.0
Malaysia,MYS,2010,22.4906406939583,2833.5032,47602.0,5050675.5,17045.2,2269018.0,6060.0,993490.4,695467.0
Myanmar,MMR,2010,19.1746012307504,2688.4656,1354400.0,57900.0,8022.0,411943.938,1013444.7,416203.0,1115724.0
Thailand,THA,2010,44.6749789582885,2742.8875,4860746.0,4498566.36,214713.98,241084.39,319.0,83290.4,10813932.2
Timor Leste,TLS,2010,22.7303295225286,2259.1812,148890.78,2711356.2,2750.0,91334.0,32.51,51147.0,1300.0
Vietnam,VNM,2010,34.3450560815081,2729.5015,4606800.0,2297200.0,3472.4,135.64,2971247.6,8528.6,500.0
Filipina,PHL,2011,41.1174833148875,2418.9343,6971221.0,1587776.0,690041.8,1105.4,765540.6,1079779.6,1124230.0
Indonesia,IDN,2011,27.0964207552627,2629.6943,17643250.0,248769060.0,9297.4,8650.0,448596.38,302506.8,613883.5
Kamboja,KHM,2011,30.7794912757761,2610.723,717000.0,76380.0,6600.0,8538.26,1.0,200.0,114785090.0
Malaysia,MYS,2011,22.9207122203622,2865.8499,59842.0,3217060.5,4623.4,2590240.0,332743.746,562956.8,748802.0
Myanmar,MMR,2011,19.2227035466638,2678.092,1461500.0,60100.0,192800.0,8.0,31226.2,297405.6,1119814.0
Thailand,THA,2011,44.6828084323436,2730.8213,4972952.0,54908965.16,214713.98,241084.39,319.0,83290.4,10788497.4
Timor Leste,TLS,2011,22.7706792199059,2289.795,49783.0,2755966.0,2913.0,99717.0,30.0,31697.0,1200.0
Vietnam,VNM,2011,34.3732843043373,2757.6892,4835717.0,2348008.6,3472.4,126.0,2545430.4,8528.6,500.0
Filipina,PHL,2012,41.6876278632995,2449.5674,7407068.5,1754049.0,656869.2,1026.2,815467.6,818118.8,1341910.0
Indonesia,IDN,2012,27.0919630640223,2672.8833,19387022.0,251688350.0,9297.4,7600.0,474443.25,302506.8,633785.7
Kamboja,KHM,2012,31.1509018808067,2602.1758,950909.0,97640.0,7920.0,7734.0,26.0,300.0,103460160.0
Malaysia,MYS,2012,23.8295541013544,2888.1443,83601.0,4901207.0,17045.2,2162567.0,6060.0,993490.4,783647.0
Myanmar,MMR,2012,19.2130444767664,2688.8958,1501600.0,38700.0,8004.6,211334.362,1020727.1,415963.0,1128836.0
Thailand,THA,2012,44.6906379063986,2752.7222,4947530.0,3179712.572,214713.98,241084.39,319.0,83290.4,10823038.32
Timor Leste,TLS,2012,22.8043039677202,2280.19,62839.0,2678005.5,3650.0,87436.0,31.24,41400.8,1300.0
Vietnam,VNM,2012,34.4331120376958,2815.859,4973482.0,1941002.2,4012.4,133.0,2130210.4,9319.4,500.0
Filipina,PHL,2013,41.8184257302881,2444.1272,7377293.5,1949796.0,682565.6,1112.2,783157.4,818118.8,1406860.0
Indonesia,IDN,2013,27.3538142623324,2711.15,18511852.0,251917730.0,9297.4,9308.0,493260.1,302506.8,651661.0
Kamboja,KHM,2013,31.4524427826875,2590.7163,927000.0,120010.0,5800.0,8000.0,23.0,350.0,105651340.0
Malaysia,MYS,2013,24.529904124182,2847.142,86499.0,4904148.0,17045.2,2351421.0,6060.0,993490.4,725125.0
Myanmar,MMR,2013,19.2732896429228,2704.655,1600600.0,47700.0,36108.8,211334.362,1020727.1,292894.4,1182524.0
Thailand,THA,2013,44.6989868660573,2722.8406,4876180.0,4498566.36,214713.98,241084.39,319.0,83290.4,10813932.2
Timor Leste,TLS,2013,22.8379287155346,2288.591,100789.0,2722871.2,2760.0,86064.0,32.12,55651.4,1300.0
Vietnam,VNM,2013,34.6726704451298,2800.4165,5190895.5,2500848.6,4143.0,141.0,1290820.2,11617.6,800.0
Filipina,PHL,2014,41.9156856826642,2463.2266,7770602.5,1791211.0,838922.4,986.6,966033.2,837345.2,1430903.0
Indonesia,IDN,2014,27.5091419048223,2786.5764,19008426.0,255780340.0,9297.4,10206.0,477518.56,150023.8,673115.0
Kamboja,KHM,2014,31.6826087695445,2603.789,550000.0,104790.0,6200.0,9000.0,8.92,400.0,104900130.0
Malaysia,MYS,2014,24.6203013239994,2833.239,59188.0,4917542.0,17045.2,1874104.0,6060.0,993490.4,701237.0
Myanmar,MMR,2014,19.342193911925,2748.7534,1693400.0,45700.0,36076.4,211267.636,1019833.1,292894.4,1190464.0
Thailand,THA,2014,44.7102115915363,2760.611,4804670.0,4498566.36,214713.98,241084.39,899.8,83290.4,10813932.2
Timor Leste,TLS,2014,22.871553463349,2339.4895,102473.0,2487019.8,2800.0,118500.0,31.92,55651.4,1300.0
Vietnam,VNM,2014,34.6991265943562,2833.538,5202511.0,2455972.2,4143.0,137.0,1717648.4,11617.6,700.0
