Nama Negara,Tahun,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Vietnam,2013,5190895.5,2500848.6,4143.0,141.0,1290820.2,11617.6,800.0
Filipina,2014,7770602.5,1791211.0,838922.4,986.6,966033.2,837345.2,1430903.0
Indonesia,2014,19008426.0,255780340.0,9297.4,10206.0,477518.56,150023.8,673115.0
Kamboja,2014,550000.0,104790.0,6200.0,9000.0,8.92,400.0,104900130.0
Malaysia,2014,59188.0,4917542.0,17045.2,1874104.0,6060.0,993490.4,701237.0
Myanmar,2014,1693400.0,45700.0,36076.4,211267.636,1019833.1,292894.4,1190464.0
Thailand,2014,4804670.0,4498566.36,214713.98,241084.39,899.8,83290.4,10813932.2
Timor Leste,2014,102473.0,2487019.8,2800.0,118500.0,31.92,55651.4,1300.0
Vietnam,2014,5202511.0,2455972.2,4143.0,137.0,1717648.4,11617.6,700.0
Filipina,2015,7518755.5,1750729.0,490986.8,4548.6,640758.8,3592.4,1616880.0
Indonesia,2015,19612436.0,272804450.0,9297.4,7938.0,499848.88,330.0,689606.0
Kamboja,2015,400000.0,181170.0,8000.0,10000.0,7.0,500.0,105619560.0
Malaysia,2015,62460.0,2458000.0,404354.0,2658582.0,815213.2,377.2,686761.0
Myanmar,2015,1748500.0,82800.0,8055.6,210776.88,1056760.0,427221.6,1215062.0
Thailand,2015,4729527.0,20446042.77,214713.98,1021361.1,1180.4,83290.4,10796853.12
Timor Leste,2015,142361.0,2575901.0,2770.0,93600.0,31.65,55651.4,1500.0
Vietnam,2015,5287261.0,2550979.4,4143.0,147.0,1322426.6,11617.6,900.0
Filipina,2016,7218817.0,1560870.0,638357.4,897.6,813585.0,526698.8,1241850.0
Indonesia,2016,23578412.0,273456130.0,9297.4,8000.0,495428.1,16485.2,696583.0
Kamboja,2016,663000.0,95440.0,10000.0,10987.0,3.4,500.0,104637510.0
Malaysia,2016,64867.0,2996000.0,100583.4,2598195.0,815213.2,331.2,672395.0
Myanmar,2016,1830631.0,110000.0,13156.4,342339.28,670630.8,440784.2,1232280.0
Thailand,2016,4390185.0,38658102.85,134602.0,2226346.5,1577.6,69967.0,6480.0
Timor Leste,2016,96565.16,2635004.2,2485.0,113926.0,31.62,67749.2,1500.0
Vietnam,2016,5244140.5,2471051.8,4143.0,150.0,1351043.4,11617.6,1000.0
Filipina,2017,7914908.5,20184.0,638357.4,897.6,813585.0,526698.8,1450249.0
Indonesia,2017,28924016.0,275074560.0,9297.4,8100.0,516333.97,31449.8,707551.2
Kamboja,2017,750000.0,99740.0,13000.0,9723.0,12.0,500.0,113337880.0
Malaysia,2017,72560.52,3187000.0,4623.4,2122420.0,815213.2,371785.0,706394.0
Myanmar,2017,1909294.6,137000.0,13156.4,1047264.8,1142687.6,440784.2,1265245.0
Thailand,2017,4820962.0,38973514.3,214713.98,287959.6,1577.6,83290.4,74624.116
Timor Leste,2017,75000.0,2709424.2,2584.0,104679.0,31.48,69020.4,1800.0
Vietnam,2017,5109765.5,2505111.2,146959.0,84.0,1447641.4,11617.6,1000.0
Filipina,2018,7771918.5,22700.0,511287.0,4477.6,655739.0,473753.2,1366583.0
Indonesia,2018,30253938.0,288139140.0,19731.4,7263.3,571531.3,67082.8,729834.56
Kamboja,2018,1232000.0,131180.0,16000.0,11000.0,16.0,400.0,107651590.0
Malaysia,2018,68906.65,3319000.0,6840.8,2809096.0,815213.2,563198.0,731394.0
Myanmar,2018,1984136.5,152600.0,38585.6,7805.8,524941.8,505509.4,1187860.0
Thailand,2018,5069143.0,38973514.3,214713.98,287959.6,2086.4,83290.4,74624.116
Timor Leste,2018,85176.16,2888461.2,3135.0,128700.0,31.37,67749.2,1800.0
Vietnam,2018,4874054.0,1993270.8,146959.0,106.0,1388746.0,11617.6,3770.124
Filipina,2019,7978844.5,20000.0,248424.6,252703.816,315691.164,3592.4,1308728.0
Indonesia,2019,19650000.0,288166080.0,9297.4,6928.77,596829.0,71092.4,745543.5
Kamboja,2019,895000.0,115560.0,22000.0,12000.0,16.5,254.0,117376060.0
Malaysia,2019,60497.87,3460000.0,6840.8,2484059.0,335990.608,562956.8,656717.0
Myanmar,2019,1985765.0,115500.0,8022.0,12527.0,1499261.9,416203.0,1133860.0
Thailand,2019,4535058.0,38763801.83,156202.0,1602055.5,1834.0,164072.6,39134.116
Timor Leste,2019,75690.0,2674144.8,3128.0,116900.0,31.27,58183.0,1900.0
Vietnam,2019,4732148.5,1550417.0,342953.8,58.0,1471683.8,9460.2,6361.138
Filipina,2020,8118546.0,21600.0,142400.0,7218.6,5134.6,97128.2,76507740.0
Indonesia,2020,24687000.0,295284060.0,32031.4,6431.97,686146.8,71092.4,765605.6
Kamboja,2020,900000.0,165010.0,25400.0,13000.0,9.1,92435.0,123964010.0
Malaysia,2020,68207.37,3856422.0,9262.6,1585004.0,339598.6,993490.4,651468.0
Myanmar,2020,2072482.0,131600.0,11205.4,1047264.8,1142687.6,433595.0,1105680.0
Thailand,2020,4805844.0,59919635.57,214713.98,253149.4,1834.0,83290.4,58865.916
Timor Leste,2020,77606.0,2612330.0,3344.0,103900.0,0.0,370856.0,2000.0
Vietnam,2020,4558107.0,1975222.4,6058307.2,24.0,1533940.6,7392.8,4391.014
Filipina,2021,8300322.0,20722.0,123800.0,7911.0,5054.6,94696.6,82632950.0
Indonesia,2021,20010000.0,318661730.0,63934.0,6036.67,624748.44,96886.4,780090.0
Kamboja,2021,920000.0,156649.0,35600.0,14134.0,80.34,95939.0,102615416.0
Malaysia,2021,74718.65,4054142.0,13125.2,2326948.0,5066.608,993490.4,647646.0
Myanmar,2021,2300000.0,70200.0,39891.2,884025.288,1946160.6,440784.2,1091183.0
Thailand,2021,5300000.0,54215017.57,214713.98,249828.6,2086.4,83290.4,58805.916
Timor Leste,2021,56058.0,2780381.5,3800.0,86400.0,0.0,6375.8,2100.0
Vietnam,2021,4446383.0,1990322.4,11327356.8,24.0,1533940.6,7392.8,2200.0
